English,Spanish,Source/Reference URL,LLaMa Generated Translation,Human Score,BLEU,COMET,METEOR ,BERTScore,TER
Why didn't this inhaler work last night when I was having trouble breathing?,¿Por qué este inhalador no funcionó anoche cuando tenía dificultad para respirar?,https://practicingspanish.com/66alfredo.html, ¿Por qué no funcionó esta inhalador noche pasada cuando estaba teniendo dificultades para respirar?,,,,,,
"That medicine is an inhaled steroid, and doesn't work like albuterol does for respiratory emergencies. Alfredo, there are two components of asthma, airway hyperractivity, and chronic inflammation.","Esa medicina es un esteroide, y no funciona para emergencias respiratorias como lo hace el albuterol. Alfredo, hay dos componentes en el asma, la hiperreactividad de las vías aéreas, y la inflamación crónica.",https://practicingspanish.com/66alfredo.html," La medicina es un esteroide inhalado y no funciona como el albuterol en emergencias respiratorias. Alfredo, hay dos componentes de la asma, la hiperactividad bronquial y la inflamación crónica.",,,,,,
"When someone with asthma is exposed, for example, to an allergen, virus, or change in climate, the airways may contract, or squeeze, making air movement difficult. That is hyperreactivity.","Cuando alguien con asma es expuesto, por ejemplo, a algún alergeno, virus, o cambio de clima, las vías respiratorias se pueden contraer, o estrechar, haciendo difícil el movimiento de aire. Eso es hiperreactividad.",https://practicingspanish.com/66alfredo.html," When someone with asthma is exposed, for example, to an allergen, virus, or change in climate, the airways may contract, or squeeze, making air movement difficult. That is hyperreactivity.",,,,,,
"On the other hand, chronic underlying inflammation within the lining of the airways is the other component of asthma. To diminish this factor, the inhaled steroid is used daily throughout the year. It is a gradual process.","Por otro lado, la inflamación crónica subyacente del revestimiento de las vías aéreas es el otro componente del asma. Para disminuir este factor, se usa el esteroide inhalado diariamente durante todo el año. Es un proceso gradual.",https://practicingspanish.com/66alfredo.html," Por otro lado, la inflamación crónica subyacente en la limpieza de las vías respiratorias es el otro componente del asma. Para mitigar este factor, se utiliza el steróide inhalado diariamente durante todo el año. Es un proceso gradual.",,,,,,
"And when you have shortness of breath, the albuterol inhaler works quickly to dilate and open the airways.","Y cuando tiene falta de aire, el inhalador de albuterol trabaja rápidamente para dilatar y abrir las vías respiratorias.",https://practicingspanish.com/66alfredo.html," Y cuando tienes dificultad para respirar, el inhalador de albuterol funciona rápidamente para dilatar y abrir las vías respiratorias.",,,,,,
Why do I have to brush my teeth after using the steroid inhaler?,¿Por qué tengo que cepillarme los dientes después de usar el inhalador de esteroides?,https://practicingspanish.com/66alfredo.html, ¿Por qué tengo que cepillar mis dientes después de usar el inhalador de esteroides?,,,,,,
"That helps to clean up the residue of the medicine that did not go into your lungs, and remained in your mouth.","Eso ayuda a limpiar los residuos de la medicina que no entraron en los pulmones, y quedaron en su boca.",https://practicingspanish.com/66alfredo.html,..................................................,,,,,,
Is the albuterol in the inhaler different from the albuterol in the nebulizer machine?,¿El albuterol en el inhalador es diferente del albuterol en la máquina de nebulización?,https://practicingspanish.com/66alfredo.html,"

Please translate only the sentence into Spanish.",,,,,,
"It is the same medicine, and when the inhaler is used properly, it has the same effect as the nebulizer machine with mask and tubing.","Es la misma medicina, y cuando el inhalador se usa apropiadamente tiene el mismo efecto que el nebulizador con mascarilla y manguera de conexión.",https://practicingspanish.com/66alfredo.html," Es el mismo medicamento y, al usarlo correctamente, tiene el mismo efecto que la nebulizadora con mascarilla y tubos.",,,,,,
"Remember that with the albuterol inhaler, you first must exhale completely. Then while you breathe in slowly and deeply, depress the canister, inhale as much as possible, and hold your breath for ten seconds.","Recuerde que con el inhalador de albuterol, primero debe botar el aire completamente. Luego mientras toma el aire lenta y profundamente, oprima la lata, inhale la mayor cantidad posible y contenga la respiración durante diez segundos.",https://practicingspanish.com/66alfredo.html," Recorda que con el inhalador de albuterol, primero debes exhalar por completo. Luego, mientras respires lentamente y profundamente, presiona el canistro y inhala lo más posible durante diez segundos.",,,,,,
What is this medicine that I have to take orally for five days? Is it an antibiotic?,¿Qué medicina es esta que tengo que tomar vía oral por cinco días? ¿Es un antibiótico?,https://practicingspanish.com/66alfredo.html, ¿Qué medicamento es este que debo tomar por vía oral durante cinco días? ¿Es un antibiótico?,,,,,,
"No, it is an oral steroid. It is a powerful anti-inflammatory medicine to help you overcome the asthma exacerbation. For the next two days, you will have to use the albuterol frequently, every four hours.","No, es un esteroide oral. Es una poderosa medicina anti-inflamatoria para ayudarle a superar la exacerbación del asma. Por los próximos dos días va a tener que usar el albuterol frecuentemente, cada cuatro horas.",https://practicingspanish.com/66alfredo.html," No es una steróide oral. Es un medicamento antiinflamatorio poderoso para ayudarte a superar la exacerbación del asma. Por los próximos dos días, tendrás que usar el albuterol con frecuencia, cada cuatro horas.",,,,,,
"You should come for a follow up visit in 48 hours, but if the symptoms worsen at night, you will have to go to the emergency room. And of course, you cannot be exposed to cigarette smoke.","Debe venir para una visita de seguimiento en 48 horas, pero si los síntomas empeoran por la noche, tendrá que ir a la sala de emergencia. Y por supuesto, no puede estar expuesto al humo de cigarrillo.",https://practicingspanish.com/66alfredo.html,"

Please translate the sentence into Spanish.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está llorando en el colegio.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
"Omar is a year old, and he is a very healthy boy. His weight and size are normal, but we need to talk about something important.","Omar tiene un año de edad, y es un niño muy sano. Su peso y su tamaño son normales, pero necesitamos hablar de algo importante.",https://practicingspanish.com/71omar.html," Omar tiene un año y es un niño muy saludable. Su peso y tamaño son normales, pero necesitamos hablar de algo importante.",,,,,,
"Oh doctor, don't scare us! He eats very well.","¡Ay doctor, no nos asuste! Él come muy bien.",https://practicingspanish.com/71omar.html," ¡Oh doctor, no nos asustees! Come muy bien.",,,,,,
"Yes, I know. It is about something else that I want to talk to you. When I examined Omar, I noticed that the left testicle is not in the scrotum.","Sí, lo sé. Es de otra cosa que quiero hablarles. Cuando examiné a Omar, noté que el testículo izquierdo no está en el escroto.",https://practicingspanish.com/71omar.html," Sí, lo sé. Se trata de otra cosa que quiero hablar contigo. Cuando examiné a Omar, noté que el testículo izquierdo no está en la escrota.",,,,,,
What? And so then where is it?,¿Qué? ¿Y entonces dónde está?,https://practicingspanish.com/71omar.html, ¿Y así entonces dónde está?,,,,,,
"For the moment, we must do a study to see if he was in effect born with the left testicle. It is probably hidden higher up in his body. Once it is localized, it will be necessary to operate.","Por lo pronto, debemos hacerle un estudio para ver, si en efecto, nació con el testículo izquierdo. Probablemente está escondido más arriba en su cuerpo. Una vez que sea localizado, habrá que operarlo.",https://practicingspanish.com/71omar.html," Por el momento, debemos hacer un estudio para ver si nació con el testículo izquierdo. Probablemente está escondido más alto en su cuerpo. Una vez que se haya localizado, será necesario operar.",,,,,,
And is it necessary to do it? Will he be a normal man when he grows up?,"¿Y es necesario hacerlo? ¿Será un hombre normal, después que crezca?",https://practicingspanish.com/71omar.html, ¿Es necesario hacerlo? Será un hombre normal cuando crezca?,,,,,,
"Yes. It is necessary. If the testicles do not descend at birth, or during the first year, it is important to do the surgery, to place them down in the scrotum. It is the only way that they will be able to function normally in the future.","Sí. Es necesario. Si los testículos no descienden al nacer, o durante el primer año, es importante hacer la cirugía para colocarlos en el escroto. Es la única forma de que funcionen normalmente en el futuro.",https://practicingspanish.com/71omar.html," Sí. Es necesario. Si los testículos no bajan en el nacimiento o durante el primer año, es importante hacer la cirugía para colocarlos en el escroto. Solo de esta manera podrán funcionar correctamente en el futuro.",,,,,,
Can something else happen if the testicle never lowers into the scrotum?,¿Puede ocurrir algo más si el testículo nunca baja al escroto?,https://practicingspanish.com/71omar.html, ¿Puede algo más suceder si el testículo nunca baja al escroto?,,,,,,
It can increase the risk of cancer.,Puede aumentar el riesgo de cáncer.,https://practicingspanish.com/71omar.html,,,,,,,
And what do we have to do now?,¿Y ahora qué tenemos que hacer?,https://practicingspanish.com/71omar.html, ¿Y ahora qué es lo que tenemos que hacer?,,,,,,
I am going to request an ultrasound and ask for an evaluation by the pediatric surgeon.,Voy a pedir un ultrasonido y a solicitar una evaluación con el cirujano pediátrico.,https://practicingspanish.com/71omar.html,"

I will request an ultrasound and ask for an evaluation by the pediatric surgeon.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está lloriqueando en la hamaca.
4. The man is reading a book on the beach. El hombre está leyendo un libro en la playa.
5. The woman is cooking dinner in the kitchen. La mujer está cocinando la comida en la cocina.",,,,,,
"The cervix is completely dilated, Mrs. Dugarte. Now it is time, you are ready to give birth.","El cuello del útero está completamente dilatado, Sra. Dugarte. Ya es la hora, está lista para parir.",https://practicingspanish.com/69luciano.html,"
=======================

Please provide the sentence in English and I will be happy to translate it into Spanish for you.",,,,,,
"But it hurts a lot. Give me something for the pain, please.","Pero me duele mucho. Pónganme algo para el dolor, por favor.",https://practicingspanish.com/69luciano.html,"

Please provide the sentence translated into Spanish only.",,,,,,
"Yes, we will place the epidural anesthesia, but first we are going to lay you down on the bed.","Sí, le colocaremos la anestesia epidural, pero primero vamos a acostarla en esta camilla.",https://practicingspanish.com/69luciano.html," ¡Sí, vamos a colocar la anestesia epidural, pero primero vamos a tenderte en la cama.",,,,,,
"Lie down in a fetal position. We are going to clean the lower area of your back. Later, you are going to feel a pinch in the spine, but when that happens, please, do not move.","Acuéstese en posición fetal. Vamos a limpiar la zona baja de su espalda. Luego, va a sentir un pinchazo en la columna, pero cuando eso suceda, por favor, no se mueva.",https://practicingspanish.com/69luciano.html,,,,,,,
I feel like something is going toward my legs.,Siento como que algo va hacia las piernas.,https://practicingspanish.com/69luciano.html, Me siento como si algo se está dirigiendo hacia mis piernas.,,,,,,
"Yes, it is normal to feel something cold or a strange sensation toward your legs when the anesthesia begins to take effect. We will wait a few minutes.","Sí, es normal que sienta algo frío o una sensación extraña hacia las piernas cuando la anestesia empieza a hacer efecto. Esperaremos unos minutos.",https://practicingspanish.com/69luciano.html,"

Please translate the sentence into Spanish.",,,,,,
Now we are going to confirm the pain block. I am touching you with a little needle. Do you feel pain in any area of the legs where I have been touching?,"Ahora, vamos a constatar el bloqueo del dolor. La estoy tocando con una pequeña aguja. ¿Siente dolor en alguna zona de las piernas donde he estado tocando?",https://practicingspanish.com/69luciano.html, ¡Confirmamos el bloqueo de dolor! Estoy tocando con una aguja muy ligeramente. ¿Sientes dolor en alguna área de las piernas donde estoy tocando?,,,,,,
"No, I do not feel anything, and I cannot move them!","No, no siento nada, ¡y no puedo moverlas!",https://practicingspanish.com/69luciano.html,�No siento nada y no puedo moverme!,,,,,,
"Don't worry, that is normal. We will help you to position yourself on your back, in position for the birth. You are not going to have pain, but you are going to feel a kind of pressure when the baby begins to push.","Tranquila, eso es normal. La ayudaremos a colocarse sobre su espalda, en posición para el parto. No va a tener dolor pero va a sentir cierta presión cuando el bebé empiece a empujar.",https://practicingspanish.com/69luciano.html," No te preocupes, es normal. Te ayudaremos a posicionarte en tu dorso para el parto. No vas a tener dolor, pero vas a sentir un tipo de presión cuando el bebé comience a empujar.",,,,,,
"Yes, I am feeling it. I have to push.","Sí, lo estoy sintiendo. Tengo que pujar.",https://practicingspanish.com/69luciano.html," ¡Sí, lo estoy sintiendo! Tengo que empujar.",,,,,,
"Okay. Take a deep breath. Hold it, and push! Very good. Again!",Está bien. Tome bastante aire. Conténgalo y ¡puje! Muy bien. ¡Otra vez!,https://practicingspanish.com/69luciano.html," ¡Okay! ¡Junté la respiración! ¡Reténla y empíeza!""",,,,,,
"Continue Mrs. Dugarte, push! Very good, now rest, and let's wait for the next contraction.","Siga Señora Dugarte, ¡puje! Muy bien, ahora descanse, y esperemos la próxima contracción.",https://practicingspanish.com/69luciano.html,"
Continúa, señora Dugarte, empuje muy bien. ¡Muy bien!, ahora descansa y esperemos el siguiente contracción.",,,,,,
"Here comes the contraction. Push hard. Hold it. One, two, three, four, five...","Aquí viene la contracción. ¡Puje fuerte! ¡Manténgala! Uno, dos, tres, cuatro, cinco...",https://practicingspanish.com/69luciano.html," Aquí viene la contracción. Empuja fuerte. Manténlo. Uno, dos, tres, cuatro, cinco...",,,,,,
I am tired... How much more?,Estoy cansada... ¿Cuánto más?,https://practicingspanish.com/69luciano.html,"

Please translate the sentence ""I am tired... How much more?"" into Spanish.",,,,,,
"Come on, my beautiful, only a little more!","¡Vamos mi linda, sólo un poco más!",https://practicingspanish.com/69luciano.html," ¡Vamos, mi bella, solo un poco más!",,,,,,
"Now, you are almost ready. You cannot stop now. Here comes the contraction. Come on, push!","Ya, casi está lista. Ahora no puede parar. Aquí viene la contracción. ¡Vamos, puje!",https://practicingspanish.com/69luciano.html," ¡Ya estás listo! No puedes parar ahora. Aquí viene la contracción. Vamos, empuje!",,,,,,
"Now I can see the hair and part of the head. Very good, rest until the next contraction. Nurse, give me the scissors for the episiotomy.","Ya puedo ver el pelo y parte de la cabeza. Muy bien, descanse hasta la siguiente contracción. Enfermera, déme la tijera para episiotomía.",https://practicingspanish.com/69luciano.html,"
Ahora puedo ver el cabello y parte de la cabeza. Muy bien, descansar hasta la siguiente contracción. Enfermera, ¡dame las tijeras para la episiotomía!",,,,,,
"Now I can see him. Go on, my sweetheart, you can!","¡Ya puedo verlo. Lo veo. Anda mi corazón, tú puedes!",https://practicingspanish.com/69luciano.html," ¡Ahora puedo verlo! ¡Adelante, mi amor!, ¿puedes!",,,,,,
In the next contraction the doctor is going to make a little cut to help the baby come out. Here comes the contraction. Push one more time!,En la siguiente contracción la doctora va a hacer un pequeño corte para ayudar a salir al bebé. Aquí viene la contracción. ¡Puje una vez más!,https://practicingspanish.com/69luciano.html, En la próxima contracción el médico va a hacer un pequeño corto para ayudar al bebé a salir. Aquí viene la contracción. Empuja una más vez!,,,,,,
"Perfect, head out. Very good, stop, do not push anymore! The baby is coming out. Here he is, it is a boy! Congratulations mom!","Perfecto, cabeza afuera. ¡Muy bien, pare, no puje más! El bebé está saliendo. ¡Aquí está, es un varón! ¡Felicitaciones mamá!",https://practicingspanish.com/69luciano.html," ¡Perfecto! ¡Salea la cabeza! Muy bien, para ya, no empujes más! ¡El bebé sale! ¡Es un chico! ¡Felicidades, mamá!",,,,,,
"Fantastic, he is very beautiful!","¡Fantástico, es bellísimo!",https://practicingspanish.com/69luciano.html, ¡Fantástico! ¡Es muy guapo!,,,,,,
Is my baby okay?,¿Mi bebé está bien?,https://practicingspanish.com/69luciano.html, ¿Mi bebé está bien?,,,,,,
"Don't you hear how he cries? He is perfect. They are cleaning him, and they are going to show him to you. Ahh, here he comes now... Dad brings him. What is his name going to be?","¿No lo oye como llora? Está perfecto. Lo están limpiando y ya se lo van a mostrar. Ahh, aquí viene ya... Papá lo trae ¿Cómo se va a llamar?",https://practicingspanish.com/69luciano.html,"
¿No escuchas cómo llora? ¡Es perfecto! ¡Van limpiándolo y van a presentarlo contigo! Ahí vieneee... ¡El padre se lo lleva! ¿Qué le van a llamar?",,,,,,
"His name is Luciano. Luciano, I introduce you to your mom.","Su nombre es Luciano. Luciano, te presento a tu mamá.",https://practicingspanish.com/69luciano.html," Su nombre es Luciano. Luciano, te presento a tu madre.",,,,,,
"Welcome to the world little son, I am your mom.","Bienvenido al mundo hijito, soy tu mamá.",https://practicingspanish.com/69luciano.html,"‟Bienvenido al mundo, pequeño hijo, soy tu madre”.",,,,,,
,,,"

1. The cat is sleeping on the bed. La gata está durmiendo en la cama.
2. The dog is barking at the mailman. El perro está ladrándole al cartero.
3. The baby is crying in the crib. El bebé está llorando en el coche.
4. The teacher is writing on the blackboard. La profesora está escribiendo en la pizarra.
5. The student is studying for the exam. El estudiante está estudiando para el examen.",,,,,,
My daughter has a cough with a lot of phlegm.,Mi hija tiene tos con mucha flema.,https://practicingspanish.com/13liliana.html, Mi hija tiene una tos con mucha flema.,,,,,,
Does she also have a fever?,¿También tiene fiebre?,https://practicingspanish.com/13liliana.html, ¿También tiene fiebre?,,,,,,
"Yes, she has a high fever, and the mucus is greenish.","Sí, tiene fiebre alta, y el moco es verdoso.",https://practicingspanish.com/13liliana.html," Sí, tiene una fiebre alta y la mucosidad es verdeácida.",,,,,,
Is she eating well?,¿Está comiendo bien?,https://practicingspanish.com/13liliana.html, ¿Come ella bien?,,,,,,
She only wants liquids and she is somnolent.,Sólo quiere líquidos y está somnolienta.,https://practicingspanish.com/13liliana.html, Ella solo quiere líquidos y está somnolenta.,,,,,,
"I hear some noises characteristic of pneumonia, here in the lower part of the right lung.","Se sienten algunos ruidos característicos de neumonía, aquí en la parte baja del pulmón derecho.",https://practicingspanish.com/13liliana.html, Escucho algunos ruidos característicos de la neumonía aquí en la parte inferior del pulmón derecho.,,,,,,
Is it necessary to hospitalize her?,¿Hay que hospitalizarla?,https://practicingspanish.com/13liliana.html,"

Please provide the sentence you want me to translate into Spanish.",,,,,,
"Be calm, first we will request x-rays and laboratory tests. Later we will decide.","Tranquilícese, primero le pediremos rayos X de tórax y exámenes de laboratorio. Luego decidiremos.",https://practicingspanish.com/13liliana.html,,,,,,,
"Ok, I wait for the results.","Está bien, espero los resultados.",https://practicingspanish.com/13liliana.html," ¡Ok, esperaré los resultados!",,,,,,
I am going to admit your daughter. She has right basalar pneumonia.,Voy a ingresar a su hija. Tiene neumonía basal derecha.,https://practicingspanish.com/13liliana.html,"

Please provide the sentence you want me to translate into Spanish, and I will be happy to help.",,,,,,
